にしろ,"接续普通形(ナAである／Nである)＋にしろ或N/ナA去だ＋にしろ
意思と仮定しても  就算是～也…
功能场景用于表达的场景
例句
①たとえお金がないにしろ、食事だけはきちんと取るべきだ。/就算没钱也该好好吃饭。
②勤め先が小さい会社であるにしろ、社員は就業規則を守らなければならない。/就算在小公司工作，也必须遵守上班规则。
③もし少年が家出をしたにしろ、まだそんなに遠くへは行っていないだろう。/就算少年离家出走了，应该还没走远吧。
解析
１）「∼に（も）しろ、…」の形で、「もし∼となっても、∼であっても」と言い、「…」で、話者の主張・判断・評判・納得できない気持ち・非難などを述べる。
２）「たとえ・仮に・疑問詞」などの言葉とともに使うことが多い。
３）「としても・にしても」より硬い言葉で、意味は同じ。１）采用「∼に（も）しろ、…」的形式，先说“即使到了～，即使是～”，再在「…」处陈述说话人的主张、判断、评价、难以接受、责备等内容。
２）多与「たとえ・かりに・疑問詞」等词语前后搭配使用。
３）比「としても・にしても」语气生硬，但意义相同。
",N2
にしろ∼にしろ,"接续Vる／Ｎ＋にしろ＋Vる／N＋にしろ
意思∼でも∼でも  不管是～还是～
功能场景用于表达的场景
例句
①野球にしろサッカーにしろ、スポーツにけがはつきものです。/无论是棒球还是足球，运动就容易受伤。
②私鉄にしろJRにしろ、車内の冷暖房の省エネ化がなかなか進まない。/无论私铁还是JR，车内空调的节能化进展都不顺利。
③泳ぐにしろ走るにしろ、体を動かすときは準備運動が必要だ。/无论游泳还是跑步，做运动的时候都有必要热身。
④旅行に行くにしろ行かないにしろ、決めたらすぐ知らせてください。/不管去不去旅游，决定了请马上通知我。
⑤大学にしろ専門学校にしろ、いずれにしろ金はかかる。/不管大学还是职专，无论哪个都要花钱。
解析
１)「∼でも∼でも」と例をいくつかあげて「その全部に当てはまる」と言いたいときに使う。 
２）④のように、対立的なものを並べて「そのどちらの場合でも」という意味で使うことももある。　
３）「にしても～にしても・にせよ～にせよ」と用法は同じです。１)“不管是～还是～”举出若干例子，“那些当中，所有的都适用”之意。　
２）如例句④，举出对立的事物，在想要表达“无论是哪种场合都”之意时也可使用本句型。
３)与「にしても～にしても・にせよ～にせよ」用法相同。
注意
举出具有相反和对立意义的两个事物，表示无论是哪种情况都无一例外。
",N2
にすぎない/すぎない,"接续N／普通形（ナＡである／Nである）＋にすぎない
意思ただ∼だけだ  只是～只不过～
功能场景用于表达的场景
例句
①Ａ：あなたはギリシャ語ができるそうですね。
Ｂ：いいえ、ただちょっとギリシャ文字が読めるにすぎません。/A:听说你会希腊语啊。B:哪里，只不过能读点希腊文字。
②この問題について正しく答えられた人は、60人中３人にすぎなかった。/能正确回答这个问题的人，60人里只有3个。
③わたしは無名の一市民にすぎませんが、この事件について政府に強く抗議します。/我虽然只是一介草民，但是关于这件事还是要向政府强烈抗议。
④彼はただ父親が有名であるにすぎない、彼に実力があるのではない。/他只不过是父亲有名，自己没什么实力。
⑤１００字程度の漢字を覚えたにすぎない。/我只不过记了100个左右汉字。
解析
「それ以上のものではない、ただその程度のものだ」と言って、程度の低さを強調するときの表現。「ただ∼にすぎない・ほんの∼にすぎない」の形で使うことが多い。陈述“不超过某一程度，程度不过如此”强调其程度之低。多采用，「ただ∼にすぎない・ほんの∼にすぎない」的形式。
注意
表示程度轻，常与「ただ/ほんの」呼应使用。
",N2
あげく（に）,"接续Vた／する動詞のNの＋あげく（に）
意思いろいろ∼した後で、とうとう最後に  终究…，…之后，结果，最后
功能场景用于表达的场景
例句
①さんざん道に迷ったあげく、結局、駅前に戻って交番で道を聞かなければならなかった。/迷路找了好久，最后还是必须返回车站问交警。
②太郎はお金のことや友人の問題でさんざん親に心配をかけたあげく、とうとう家を出てしまった。/太郎因为钱和朋友的问题让父母操碎了心，最终离家出走了。
③この問題については、長時間にわたる議論のあげく、結論は先送りされた。/关于这个问题，经过长时间的讨论，导致结论被推迟了。
④何日間も協議を続けたあげくの果ての結論として、今回は残念ながらわれわれの会としては代表を送らないことにした。/经过了好几天的协商，结果是我们很遗憾这次我们的会上不派代表了。
⑤山田さんは悩んだあげく、お寺で生活することを決めた。/山田经过一番苦苦思索之后，决定去寺庙中生活了。
解析
１）「いろいろ∼した後で、とうとう残念な結果になった」と言いたいときに使う。
２）１回だけのことや軽いことの結果には使わず、「いろいろ・さんざん・長い時間」など、強調する言葉とよくいっしょに使う。◆×あの日社長とけんかしたあげくに、会社をやめた。
３）④の「あげくの果て」は慣用表現。
４）様の表現に同「すえ（に）」がある。１）在想要表达“做了各种各样的（努力）之后，最终的结果却是令人遗憾的”这个意思的时候使用本句型。２）想要表达只做过一次的事或者不起眼的事等的结果时，是不使用本句型的；本句型常常跟「いろいろ・さんざん・長い時間」等强调“不容易”的词语一同使用。
３）例句④中的「あげくの果て」为惯用句式。
４）本句型有一个类义句式：「すえ（に）」
注意
～したあげくに
1.表示某种状态持续很长时间，造成了精神负担或困惑，经过痛苦、疑惑等多方努力得到某一结果，这种结果多数是不好的。修饰名词用「～あげくの」的形式。而「～末に」则表示“经过一段时间，最后……”的意思，既可以表示好的结果，也可以表示不好的结果，是书面语。
2.除了「～あげく」的形式之外，还有「～あげくのはてに」的形式，与「～あげく」的意思相同，但是后项的结果更为严重，可用于连接两个句子，有接续词的功能。
易混淆语法辨析
あげく（に）/すえ（に/の）/辨析：①接续相同，「〜あげく」与「〜すえ」都接「動た形/名+の」。
②意思相同，两者都表示一个长时间的过程后的結果，意思是“最终……”、“终于……”。
③区别「〜あげく」的后项多是不好的結果。「〜すえ」的后项既可以是好的结果，也可以是不好的結果。
【例句】
△二人はさんざん喧嘩をしたあげく、とうとう離婚してしまった。/两个人狠狠地吵架后，最终离婚了。（后项是不好的后果）
△長時間の討論のすえ、やっと結論を出した。/在长时间的讨论之后，终于有了结论。（后项可以是好的結果，也可以是不好的結果）
",N2
にせよ/にもせよ,"接续普通形（ナAである／Nである＋に（も）せよ
意思と仮定しても  即使～
功能场景用于表达的场景
例句
①どんなことをするにせよ、十分な計画と準備が必要だ。/无论做什么事，都需要万全的计划和准备。
②どんなにわずかな予算であるにせよ、委員会の承認を得なければならない。/即使预算再少，也必须获得委员会的承认。
③母の病気が重いので、どこへ行くにせよ、携帯電話をいつも持っている。/因为母亲病重，无论去哪，我都带着手机。
④初めてやったことであるにせよ、法的な責任はとらなければならない。/即使是第一次做，也要承担起法律责任。
解析
１）「∼にせよ、…」の形で，「もし∼となっても、∼であっても」と言い、「…」で、話者の主張・判断・評判・納得できない気持ち・非難などを述べる。 
２）「たとえ・仮に・疑問詞」などの言葉と一緒に使うことが多い。
３）「としても・にしても・にしろ」より硬い言葉で、意味は同じです。１）采用「∼にせよ、…」的形式,先说“即使到了～，即使是～”，再在「…」处陈述说话人的主张、判断、评价、难以接受、责备等内容。
２）多与「たとえ・かりに・疑問詞」等词语前后搭配使用。
３）比「としても・にしても・にしろ」语气生硬但意思相同。
",N2
にせよ～にせよ/せよ～せよ,"接续Vる／Ｎ＋にせよ＋Vる／Ｎ＋にせよ
意思∼でも∼でも  不管是～还是～
功能场景用于表达的场景
例句
①動物にせよ植物にせよ、生物はみんな水がなければ生きられない。/无论是动物还是植物，离了水都没法活。
②学生にせよ教師にせよ事務職員にせよ、この学校の関係者は創立者のことぐらいは知っているべきだ。/无论是学生还是老师还是行政职员，凡是这个学校相关人员都应该知道创立者的事。
③夏休みに山に行くにせよ海に行くにせよ、十分な準備をして行った方がよい。/暑假不管去爬山还是海边，都最好做好充分准备。
④男にせよ女にせよ、自己実現のチャンスは平等に与えられるべきだ。/无论男女，都应该被赋予实现自我的平等机会。
解析
１）「∼でも∼でも」と例をいくつかあげて、「その全部に当てはまる」と言いたいときに使う。
２）④のように、対立的なものを並べて「そのどちらの場合でも」という意味で使うこともある。
３）同類の用法「にしても～にしても・にしろ～にしろ」より硬い言い方。１）“不管是～还是～”举出若干例子，“那些当中，所有的都适用”之意。
２）如例句④，举出对立的事物，在想要表达“无论是哪种场合都”之意时也可使用本句型。
３）比「にして～にしても・にしろ～にしろ」生硬但是用法相同。
注意
举出具有相反和对立意义的两个事物，表示无论是哪种情况都无一例外。
",N2
にそういない/そういない 【に相違ない/相違ない】,"接续普通形（ナＡ・ナＡである／N・Nである）＋に相違ない
意思きっと∼と思う  认为一定是～
功能场景用于表达的场景
例句
①不合格品がそれほど出たとは、製品の検査がそうとう厳しいに相違ない。/不合格品很少，一定是产品检验严格。
②あの人に相違ない/一定是那个人。
③反対されてすぐ自分の意見を引っ込めたところを見ると、彼女は初めから自分の意見を信じていなかったに相違ない。/一被反对马上撤回自己的意见，由此可以看出一开始她一定不相信自己的意见。
④国に帰ったに相違ない/一定是回国了。
⑤タレン卜が反論しないところを見ると、やはり雑誌に書いてあることは事実に相違ない。/那名艺人并没有加以反驳，由此可以看得出来杂志上写的果然是事实。
解析
１）「きっと∼と思う」という話者の確信を述べる推量の表現。「たぶん∼だろう」より確信の程度が強い。
２）「にちがいない」よりさらに硬い書き言葉。１）“我认为一定是～”表明说话人对自己的推测非常确信。比「たぶん∼だろう」的确信程度要高。
２）本句型是比「にちがいない」更生硬一点的书面用语。
注意
表示说话人非常有把握，常用于书面语，与「～に違いない」相同。
",N2
にそって/にそった/そう/そって 【に沿って/に沿った/沿う/沿って】,"接续Ｎ＋に沿って
意思に合うように／∼に従って  按照
功能场景用于表达的场景
例句
①本校では創立者の教育方針に沿って年間の学習計画を立てています。/在本校，按照创立者的教育方针来制定学年计划。
②ただ今のご質問に対してお答えします。ご期待に沿う回答ができるかどうか自信がありません
が……。/现在来回答大家的问题。能不能按照大家期待的来回答我并没有自信……。
③安全対策の基準に沿った実施計画を立てる必要がある。/有必要按照安全对策基准来制定计划。
解析
１）「∼から離れないで、∼からずれないで」という意味を表す。期待希望方針マニュアルなどの語につくことが多い。 
２）後に名詞が来る場合は②③のように「に沿うN・に沿った」になる。１）意为“离不开～，不偏离～”。多接在表期待、希望、方针、使用说明等意的词语之后。
２）后面出现名词时，如例句②③变为「に沿うＮ・に沿ったＮ」的形式。
注意
「～に沿って」用在句中中顿；「に沿った」后面接名词。
",N2
ていらい/いらい 【て以来/以来】,"接续Vて／N＋以来
意思∼してから、今までずっと  自从～以来
功能场景用于表达的场景
例句
①大学を卒業して以来、田中さんには１度も会っていません。/大学毕业以来，一次也没见田中。
②一人暮らしを始めて以来、ずっと外食が続いている。/自从一个人生活以来，一直叫外卖。
③あの画家の絵を見て以来、あの画家にすっかり夢中になっています。/自从看了那个画家的画，完全沉迷其中。
④来日以来、父の友人のお宅にホームステイしています。/到了日本之后一直寄宿在父亲的友人家里。
⑤大学を卒業して以来、田中さんとはずっと会えないままになっている。/大学毕业以后，一直都没见过田中。
解析
１）「ある行動の後、ある状態がずっと続いている」という意味。
２）「てからは」とほとんど同じ意味。
３）後の行動が１回限りのことには使えない。◆×退院して以来、山に出かけました。→○退院して以来、家で静かに暮らしています。
１）“某行动之后，某种状态一直在持续”之意。
２）和「てからは」意义基本相同。
３）如果后面的行为只发生一次的话，是不能使用本句型的。
注意
1.表示前项的事情再也没有发生过或者另外一件事情一直持续。后项是表示状态的，不能是表示一次性的动作的内容。
2.前项是过去发生的某件事情，不能是刚刚发生不久的事情。
易混淆语法辨析
きり/きりだ/ていらい/いらい/辨析：
",N2
にたいし/たいする/たいして 【に対し/対する/対して】,"接续Ｎ＋に対し/対する/対して　/　Nに対するN
意思∼に／∼を相手として  以～为对象
功能场景用于表达的场景
例句
①小林先生は勉強が嫌いな学生に対して、特に親しみをもって接していた。/小林老师对于不喜欢学习的学生特别的关切。
②この奨学金は将来教員になりたいと思っている人に対して与えられるものです。/这个奖学金是奖励给将来想成为教员的人。
③今のランさんの発言に対して、何か反論のある方は手を挙げてください。/对刚才ランさん的发言有什么反对意见的人请举手。
④青年の親に対する反抗心は、いつごろ生まれ、いつごろ消えるのだろうか。/青少年对父母的反抗心里 是什么时候开始什么时候消退的呢。
⑤目上の人に対して敬語を使う/对长辈上级要实用敬语
解析
１）行為や感情が向けられる相手や対象を表す。相手に直接、行為や気持ちが及ぶときに使う。後には相手に向けて働きかける行為、態度を表す表現が来る。 
２）後に名詞が来る場合は④のように「に対するN」という形になる。１）表示一个行为或一种感情的对象、接受者。在行为、情绪直接影响到对方时，即使用本句型。后面多出现动员对方做某事的行为、态度等内容。　
２）后面出现名词时，如例句④，变为「に対するＮ」的形式。
注意
「～に対する/に対しての」后续名词作定语使用。
",N2
